anio,timestre,clave,salario,inpc_general,mexindpro
2006,1,3,183.6126743,80.82408,112.1336545
2006,2,3,182.6114888,80.08698,114.140797
2006,3,3,187.1097681,80.18828,113.2200485
2006,4,3,192.1078542,82.39141,112.9463419
2007,1,3,195.4913896,83.84115,116.283485
2007,2,3,197.8726114,83.04482,115.4359435
2007,3,3,200.0703469,83.37081,115.7224699
2007,4,3,202.8550366,85.7618,115.3218362
2008,1,3,205.8776976,87.33056,116.4028017
2008,2,3,209.2516658,87.59317,115.8726575
2008,3,3,212.4511255,88.15044,113.2364385
2008,4,3,211.3365798,90.79034,109.1938814
2009,1,3,213.6720901,93.01194,104.4461705
2009,2,3,214.1317194,93.82857,104.0040417
2009,3,3,213.7446674,94.06213,106.1386502
2009,4,3,217.1303047,95.7556,109.3413194
2010,1,3,218.5557415,97.44547,112.0859596
2010,2,3,220.5317037,96.58225,112.5118004
2010,3,3,221.7868119,95.97866,113.4257218
2010,4,3,222.9718407,98.68436,114.9106933
2011,1,3,224.6544293,100.26095,115.9944754
2011,2,3,226.9624548,98.51854,116.4620657
2011,3,3,229.6092018,97.98983,117.9813496
2011,4,3,231.889467,101.15058,119.6225905
2012,1,3,235.5787943,103.45864,120.4963085
2012,2,3,236.8213508,102.29623,122.0109257
2012,3,3,237.7726419,102.16986,122.0605247
2012,4,3,238.5464939,104.51784,119.6407043
2001,1,4,139.1748515,64.69369,99.65866832
2001,2,4,148.8890111,64.79176,99.63357944
2001,3,4,150.2941392,64.48174,100.053331
2001,4,4,153.1753381,65.91524,99.61450967
2002,1,4,157.919925,66.78716,98.55714561
2002,2,4,160.7391303,67.0039,99.32485004
2002,3,4,162.0016907,68.35155,99.45769375
2002,4,4,164.4573514,70.42674,99.49988738
2003,1,4,168.4041299,71.1492,100.7079991
2003,2,4,172.1640926,70.77429,99.84226644
2003,3,4,175.4898879,71.19399,98.64165685
2003,4,4,182.5441382,72.63454,101.4634522
2004,1,4,185.6179066,73.35659,104.3735571
2004,2,4,188.3328349,72.99309,102.9221253
2004,3,4,193.9705415,73.59219,104.2730928
2004,4,4,196.1398828,75.67129,104.9995635
2005,1,4,195.7142047,76.63122,105.0543786
2005,2,4,197.3317678,76.27549,105.7389947
2005,3,4,201.2678201,76.49747,107.8074637
2005,4,4,203.658229,78.41079,110.9397676
2006,1,4,207.1786034,79.39807,112.1336545
2006,2,4,211.1377452,78.6626,114.140797
2006,3,4,216.6983059,79.43625,113.2200485
2006,4,4,220.6648031,81.72802,112.9463419
2007,1,4,224.9452614,83.55978,116.283485
2007,2,4,228.0714313,82.46585,115.4359435
2007,3,4,229.6205218,83.28467,115.7224699
2007,4,4,231.1077561,85.12934,115.3218362
2008,1,4,236.584636,86.28085,116.4028017
2008,2,4,240.1411903,86.63075,115.8726575
2008,3,4,244.871317,87.45704,113.2364385
2008,4,4,252.3607907,89.91994,109.1938814
2009,1,4,260.7766734,91.42048,104.4461705
2009,2,4,260.0857469,91.91023,104.0040417
2009,3,4,263.6127126,92.62806,106.1386502
2009,4,4,265.6666565,94.61304,109.3413194
2010,1,4,269.421434,97.6002,112.0859596
2010,2,4,277.919361,96.94628,112.5118004
2010,3,4,282.5371683,96.78796,113.4257218
2010,4,4,286.678829,99.50953,114.9106933
2011,1,4,291.4760963,100.5996,115.9944754
2011,2,4,297.3218201,100.38507,116.4620657
2011,3,4,298.6085064,101.25503,117.9813496
2011,4,4,303.5188135,103.34767,119.6225905
2012,1,4,306.0260183,104.6625,120.4963085
2012,2,4,305.2254189,104.04536,122.0109257
2012,3,4,313.9412202,105.48562,122.0605247
2012,4,4,320.6404115,107.06214,119.6407043
